name,technologies,topics,category
52°North Initiative for Geospatial Open Source Software GmbH,javascript | java | ogcstandards | webservices,spatial data | sensor web | web-based geoprocessing | earth observation | geoinformatics,Science and Medicine
aimacode,python | java | javascript,artificial intelligence | education,Programming Languages and Development Tools
AOSSIE - The Australian National University's Open-Source Software Innovation and Education,scala | lisp | llvm | python | postgresql,logic | live programming | data analysis | health | privacy,Science and Medicine
Apache Software Foundation,java | ruby | python | javascript | couchdb,cloud | ddd | dsl | database | web,
ArchC,c++ | python | archc,computer architecture | processor design | simulators,Programming Languages and Development Tools
ASCEND,python | c | c/c++,engineering | simulation | system modelling | mathematical software | solver,Science and Medicine
BeagleBoard.org,beaglebone | javascript | python | linux | c,robotics | iot | real time | physical computing | coprocessing,
Beam Community,erlang | elixir | xmpp | beam | mqtt,messaging | real time | cloud | scalability,Programming Languages and Development Tools
Berkman Center for Internet and Society,rubyonrails | javascript | sql/nosql | meteor.js | go,censorship | education | internet freedom | digital rights | law and policy,
BioJS,javascript | python,javascript | bioinformatics | life sciences | coding standards | visualization,Science and Medicine
"Biomedical Informatics, Emory University",java | medicalimaging | deeplearning | hadoop | python,cloud | web platform and services | precision medicine | big data visualization | data fusion,Science and Medicine
Blender Foundation,c | c++ | python | opengl,3d | tools | animation | games | rendering,Graphics / Video / Audio / Virtual Reality
Boston University / XIA,xia | c | linuxkernel | advanceddatastructures,computer networking | future internet architecture | research,Cloud
BRL-CAD,opencl | opengl | c/c++ | python | tcl,cad | geometry | 3d | ray tracing | visualization,Graphics / Video / Audio / Virtual Reality
BuildmLearn,python | django | bootstrap | android,mlearning | mobile app | web apps | education,End User Applications
Canadian Centre for Computational Genomics (C3G) - Montreal node,python | r-project | javascript | sql | git,bioinformatics | visualization | statistics | genomics | population genetics,Science and Medicine
Catrobat,android | java | html5 | web | javascript,education | programming tools | robotics | web applications | scratch,Programming Languages and Development Tools
cBioPortal for Cancer Genomics,java | javascript | web | html | bigdata,cancer | genomics | bioinformatics | precision medicine | biology,Science and Medicine
CCExtractor Development,c | video | ffmpeg | subtitles | linux,media analysis | database | subtitles | decoder | video,Graphics / Video / Audio / Virtual Reality
Celluloid,ruby | multi-threading | multi-core | zeromq | high-resolutiontimers,concurrency | parallel | evented | distributed | actor model,Programming Languages and Development Tools
Ceph,c/c++ | python | object-storage,network storage | cloud | distributed systems,Data and Databases
CERN SFT,c++ | python | javascript | clang,numerical and data analysis software | simulation software | cloud | machine learning,Science and Medicine
Chapel,python | chapel | c | c++ | highperformancecomputing,programming languages | compilers | high performance computing | distributed computing | parallel computing,Programming Languages and Development Tools
CiviCRM,php | javascript | mysql | angularjs | d3js,civic technology | crm | fundraising | events management | membership management,Social / Communications
Classical Language Toolkit,python | javascript | java,natural language processing | web | machine translation | machine learning | human language technologies,
CloudCV,python | javascript | lua | caffe | torch,computer vision | deep learning | machine learning,Cloud
Computational Biology @ University of Nebraska-Lincoln,webgl | javascript | mysql | react,image analysis | computational biology | systems biology | networks | real time,Science and Medicine
Computational Science and Engineering at TU Wien,javascript | html | css | java | c++,science and enineering | internet of things | visualization | simulation | mesh generation,Science and Medicine
Copyleft Games,python | opengl | c,developer tools,Programming Languages and Development Tools
coreboot,c | assembly | openhardware,firmware | drivers | hardware | embedded systems | real time,Operating Systems
CVXPY,python,convex optimization | optimization | dsl,
D Foundation,dlang | c++,compilers,Programming Languages and Development Tools
